participant,escrow_id,inference_id,validator_slot,valid,is_vote,inference_status,executor_address,model,input_length_claimed,timeout_count,timeout_reasons
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,81,6,0,0,INVALIDATED,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,moonshotai/Kimi-K2.6,11073,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,304,6,1,0,VALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,165,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1939,380,6,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,384,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1942,62,13,0,0,VALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,561,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1942,149,13,0,0,INVALIDATED,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,moonshotai/Kimi-K2.6,4749,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1942,208,13,0,0,INVALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,16434,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1945,1,10,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,1021,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1945,62,10,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,12019,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1945,261,10,0,0,INVALIDATED,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,moonshotai/Kimi-K2.6,100586,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1945,267,10,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,126324,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1945,427,10,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,6889,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1948,1,3,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,62825,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1948,8,3,1,0,VALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,865,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1948,25,3,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,114701,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1948,36,3,0,0,INVALIDATED,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,moonshotai/Kimi-K2.6,166419,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1948,54,3,0,0,INVALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,27099,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1948,197,3,0,0,INVALIDATED,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,moonshotai/Kimi-K2.6,484,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1948,342,3,1,0,VALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,5575,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1950,241,0,1,0,VALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,2931,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1950,450,0,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,384,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1951,55,10,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,73839,0,
gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,1951,85,10,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,8423,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1939,104,3,0,0,INVALIDATED,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,moonshotai/Kimi-K2.6,17964,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1943,110,9,0,0,VALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,1693,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1944,145,4,0,0,INVALIDATED,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,moonshotai/Kimi-K2.6,4234,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1944,710,4,1,0,VALIDATED,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,moonshotai/Kimi-K2.6,1193,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1947,73,8,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,1716,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1951,103,14,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,16008,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1951,687,14,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,48329,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1953,370,14,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,455020,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1953,376,14,1,0,VALIDATED,gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,moonshotai/Kimi-K2.6,165,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1953,455,14,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,220,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1953,567,14,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,16821,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1953,588,14,0,0,INVALIDATED,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,moonshotai/Kimi-K2.6,6891,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,61,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,3388,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,124,4,0,0,INVALIDATED,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1948,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,127,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,59767,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,158,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,5300,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,174,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,378940,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,179,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,188742,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,187,4,1,0,VALIDATED,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,800170,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,211,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,535348,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,233,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,287852,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,312,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,36120,0,
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,1977,355,4,0,0,INVALIDATED,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,246512,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1939,516,10,0,0,INVALIDATED,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,moonshotai/Kimi-K2.6,4404,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1945,142,7,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,4442,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1945,245,7,0,0,INVALIDATED,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,moonshotai/Kimi-K2.6,76143,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1945,392,7,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,22941,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1945,398,7,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,24671,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1946,539,7,0,0,INVALIDATED,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,moonshotai/Kimi-K2.6,34282,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1946,540,7,0,0,INVALIDATED,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,moonshotai/Kimi-K2.6,34282,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1948,72,15,0,0,INVALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,469,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1948,152,15,0,0,INVALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,15817,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1948,480,15,0,0,INVALIDATED,gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,moonshotai/Kimi-K2.6,275,0,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,1948,693,15,0,0,INVALIDATED,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,moonshotai/Kimi-K2.6,48329,0,
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1940,98,10,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,13176,0,
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1940,358,10,0,0,INVALIDATED,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,moonshotai/Kimi-K2.6,129252,0,
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1940,368,10,0,0,INVALIDATED,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,moonshotai/Kimi-K2.6,16965,0,
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1940,373,10,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,22710,0,
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1941,175,9,0,0,INVALIDATED,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,moonshotai/Kimi-K2.6,21194,0,
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1941,208,9,0,0,INVALIDATED,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,moonshotai/Kimi-K2.6,3274,0,
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,1941,738,9,0,0,INVALIDATED,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,moonshotai/Kimi-K2.6,526,0,
